Plano;Bloque;Entra;Sale;Duracion (s);Escena
1;GANCHO;0:00;0:03;3;Una sensación sin explicar
2;GANCHO;0:03;0:07;4;Un sitio nuevo, algo trivial
3;GANCHO;0:07;0:10;3;Esto ya lo he vivido
4;GANCHO;0:10;0:13;3;No es un recuerdo
5;GANCHO;0:13;0:16;3;La certeza es total
6;GANCHO;0:16;0:19;3;Dura un segundo y se va
7;GANCHO;0:19;0:22;3;Recordar otra vida
8;GANCHO;0:22;0:26;4;Ver un trozo del futuro
9;GANCHO;0:26;0:31;5;Las dos son falsas
10;GANCHO;0:31;0:34;3;Gente que vive dentro
11;MONTREAL;0:34;0:39;5;Montreal, años treinta
12;MONTREAL;0:39;0:44;5;Un quirófano
13;MONTREAL;0:44;0:47;3;Cráneo abierto, cerebro a la vista
14;MONTREAL;0:47;0:52;5;Y despierto, hablando
15;MONTREAL;0:52;0:55;3;El cerebro no duele
16;MONTREAL;0:55;0:59;4;Saber qué hace cada milímetro
17;MONTREAL;0:59;1:03;4;Wilder Penfield
18;MONTREAL;1:03;1:06;3;El electrodo
19;MONTREAL;1:06;1:10;4;¿Qué siente ahora?
20;EL_ELECTRODO;1:10;1:14;4;Un paciente oía una orquesta
21;EL_ELECTRODO;1:14;1:17;3;La voz de su madre
22;EL_ELECTRODO;1:17;1:22;5;Una escena de la infancia
23;EL_ELECTRODO;1:22;1:26;4;El lóbulo temporal
24;EL_ELECTRODO;1:26;1:31;5;Esto ya lo he vivido
25;DOS_PARTES;1:31;1:35;4;No recuerdos, la sensación de recordar
26;DOS_PARTES;1:35;1:38;3;No es un vídeo
27;DOS_PARTES;1:38;1:43;5;Una parte decide si es familiar
28;DOS_PARTES;1:43;1:50;7;Otra va a buscar por qué
29;DOS_PARTES;1:50;1:54;4;Normalmente van juntas
30;DOS_PARTES;1:54;1:59;5;Ves una cara y sabes de qué
31;DOS_PARTES;1:59;2:02;3;La primera se dispara
32;DOS_PARTES;2:02;2:09;7;La segunda vuelve vacía
33;DOS_PARTES;2:09;2:13;4;La etiqueta sin el documento
34;DOS_PARTES;2:13;2:16;3;El aviso de un recuerdo que no existe
35;NO_ES_EPILEPSIA;2:16;2:19;3;Lo que se entiende al revés
36;NO_ES_EPILEPSIA;2:19;2:22;3;No significa que sea epilepsia
37;NO_ES_EPILEPSIA;2:22;2:27;5;Justo antes de una crisis
38;NO_ES_EPILEPSIA;2:27;2:31;4;La puerta de entrada al hallazgo
39;NO_ES_EPILEPSIA;2:31;2:34;3;No es un fallo ni un síntoma
40;AL_REVES;2:34;2:37;3;Más frecuente cuanto más joven
41;AL_REVES;2:37;2:41;4;Se apaga con la edad
42;AL_REVES;2:41;2:44;3;Más en gente que viaja
43;AL_REVES;2:44;2:51;7;Y que recuerda sus sueños
44;AL_REVES;2:51;2:54;3;Si fuera deterioro
45;AL_REVES;2:54;2:58;4;Tu memoria comprobándose
46;AL_REVES;2:58;3:03;5;El sistema levantando la mano
47;AL_REVES;3:03;3:10;7;Ese control se vuelve más flojo
48;LABORATORIO;3:10;3:15;5;Se puede provocar en laboratorio
49;LABORATORIO;3:15;3:18;3;Misma distribución, otros muebles
50;LABORATORIO;3:18;3:23;5;Yo he estado aquí
51;DEJA_VECU;3:23;3:27;4;Volvamos al dato
52;DEJA_VECU;3:27;3:31;4;Déjà vécu
53;DEJA_VECU;3:31;3:38;7;Ya han vivido todo
54;DEJA_VECU;3:38;3:45;7;Dejó de leer el periódico
55;DEJA_VECU;3:45;3:52;7;Y de ver la televisión
56;DEJA_VECU;3:52;3:59;7;Le enseñaban la fecha
57;DEJA_VECU;3:59;4:06;7;Pesaba más que la prueba
58;DEJA_VECU;4:06;4:13;7;Tu certeza no viene de la realidad
59;CIERRE;4:13;4:20;7;Una señal que fabrica tu cerebro
60;CIERRE;4:20;4:27;7;La realidad pierde
61;CIERRE;4:27;4:34;7;Ni vida anterior ni futuro
62;CIERRE;4:34;4:41;7;Pillándose a sí misma en un error
63;CIERRE;4:41;4:48;7;Ver la máquina por dentro
64;CIERRE;4:48;4:55;7;Promesa del próximo video
65;CIERRE;4:55;5:02;7;Suscríbete y comparte
66;CIERRE;5:02;5:09;7;Cierre
