Plano;Bloque;Entra;Sale;Duracion (s);Escena
1;GANCHO;0:01;0:04;3;Una sensación sin explicar
2;GANCHO;0:04;0:09;5;Un sitio nuevo, algo trivial
3;GANCHO;0:09;0:10;1;Esto ya lo he vivido
4;GANCHO;0:10;0:12;2;No es un recuerdo
5;GANCHO;0:12;0:14;1;La certeza es total
6;GANCHO;0:14;0:19;5;Dura un segundo y se va
7;GANCHO;0:19;0:20;2;Recordar otra vida
8;GANCHO;0:20;0:22;2;Ver un trozo del futuro
9;GANCHO;0:22;0:23;1;Las dos son falsas
10;GANCHO;0:23;0:38;15;Gente que vive dentro
11;MONTREAL;0:38;0:40;2;Montreal, años treinta
12;MONTREAL;0:40;0:42;2;Un quirófano
13;MONTREAL;0:42;0:45;3;Cráneo abierto, cerebro a la vista
14;MONTREAL;0:45;0:50;5;Y despierto, hablando
15;MONTREAL;0:50;1:01;11;El cerebro no duele
16;MONTREAL;1:01;1:06;5;Saber qué hace cada milímetro
17;MONTREAL;1:06;1:11;5;Wilder Penfield
18;MONTREAL;1:11;1:12;1;El electrodo
19;MONTREAL;1:12;1:18;6;¿Qué siente ahora?
20;EL_ELECTRODO;1:18;1:20;2;Un paciente oía una orquesta
21;EL_ELECTRODO;1:20;1:24;4;La voz de su madre
22;EL_ELECTRODO;1:24;1:30;7;Una escena de la infancia
23;EL_ELECTRODO;1:30;1:34;4;El lóbulo temporal
24;EL_ELECTRODO;1:34;1:37;2;Esto ya lo he vivido
25;DOS_PARTES;1:37;1:46;9;No recuerdos, la sensación de recordar
26;DOS_PARTES;1:46;1:48;2;No es un vídeo
27;DOS_PARTES;1:48;1:51;3;Una parte decide si es familiar
28;DOS_PARTES;1:51;1:53;2;Otra va a buscar por qué
29;DOS_PARTES;1:53;1:56;2;Normalmente van juntas
30;DOS_PARTES;1:56;2:05;9;Ves una cara y sabes de qué
31;DOS_PARTES;2:05;2:07;2;La primera se dispara
32;DOS_PARTES;2:07;2:09;3;La segunda vuelve vacía
33;DOS_PARTES;2:09;2:17;8;La etiqueta sin el documento
34;DOS_PARTES;2:17;2:23;6;El aviso de un recuerdo que no existe
35;NO_ES_EPILEPSIA;2:23;2:27;4;Lo que se entiende al revés
36;NO_ES_EPILEPSIA;2:27;2:32;5;No significa que sea epilepsia
37;NO_ES_EPILEPSIA;2:32;2:37;5;Justo antes de una crisis
38;NO_ES_EPILEPSIA;2:37;2:44;6;La puerta de entrada al hallazgo
39;NO_ES_EPILEPSIA;2:44;2:50;6;No es un fallo ni un síntoma
40;AL_REVES;2:50;2:54;4;Más frecuente cuanto más joven
41;AL_REVES;2:54;2:55;1;Se apaga con la edad
42;AL_REVES;2:55;2:58;3;Más en gente que viaja
43;AL_REVES;2:58;2:59;1;Y que recuerda sus sueños
44;AL_REVES;2:59;3:12;13;Si fuera deterioro
45;AL_REVES;3:12;3:15;2;Tu memoria comprobándose
46;AL_REVES;3:15;3:22;7;El sistema levantando la mano
47;AL_REVES;3:22;3:24;3;Ese control se vuelve más flojo
48;LABORATORIO;3:24;3:29;5;Se puede provocar en laboratorio
49;LABORATORIO;3:29;3:36;7;Misma distribución, otros muebles
50;LABORATORIO;3:36;3:40;4;Yo he estado aquí
51;DEJA_VECU;3:40;3:44;4;Volvamos al dato
52;DEJA_VECU;3:44;3:50;6;Déjà vécu
53;DEJA_VECU;3:50;3:56;6;Ya han vivido todo
54;DEJA_VECU;3:56;3:58;2;Dejó de leer el periódico
55;DEJA_VECU;3:58;4:04;6;Y de ver la televisión
56;DEJA_VECU;4:04;4:08;4;Le enseñaban la fecha
57;DEJA_VECU;4:08;4:11;3;Pesaba más que la prueba
58;DEJA_VECU;4:11;4:15;5;Tu certeza no viene de la realidad
59;CIERRE;4:15;4:19;4;Una señal que fabrica tu cerebro
60;CIERRE;4:19;4:23;4;La realidad pierde
61;CIERRE;4:23;4:27;4;Ni vida anterior ni futuro
62;CIERRE;4:27;4:32;5;Pillándose a sí misma en un error
63;CIERRE;4:32;4:34;1;Ver la máquina por dentro
64;CIERRE;4:34;4:40;7;Promesa del próximo video
65;CIERRE;4:40;4:42;1;Suscríbete y comparte
66;CIERRE;4:42;4:52;11;Cierre
