Plano;Bloque;Entra;Sale;Duracion (s);Escena
1;EL_DILEMA;0:00;0:02;2;Imagina que te dan un uniforme
2;EL_DILEMA;0:02;0:06;4;unas gafas de sol que te
3;EL_DILEMA;0:06;0:09;3;Te dicen que durante dos semanas
4;EL_DILEMA;0:09;0:13;4;Nadie te explica cómo comportarte. Nadie
5;EL_DILEMA;0:13;0:16;3;Solo te dan el uniforme y
6;EL_DILEMA;0:16;0:19;3;¿Cuánto tiempo crees que tardarías en
7;EL_DILEMA;0:19;0:21;2;a la persona que tienes encerrada
8;EL_DILEMA;0:21;0:24;3;Esa es la pregunta que se
9;EL_EXPERIMENTO;0:24;0:28;3;un psicólogo de la Universidad de
10;EL_EXPERIMENTO;0:28;0:32;4;Montó una cárcel falsa en el
11;EL_EXPERIMENTO;0:32;0:36;4;Reclutó a veinticuatro estudiantes universitarios sanos
12;EL_EXPERIMENTO;0:36;0:40;5;y los dividió al azar en
13;EL_EXPERIMENTO;0:40;0:44;4;El experimento estaba planeado para durar
14;EL_EXPERIMENTO;0:44;0:45;1;Duró seis días
15;EL_EXPERIMENTO;0:45;0:49;4;Según se ha contado durante décadas
16;EL_EXPERIMENTO;0:49;0:52;2;los guardias se volvieron crueles casi
17;EL_EXPERIMENTO;0:52;0:55;3;Empezaron a humillar a los prisioneros
18;EL_EXPERIMENTO;0:55;0:57;2;a obligarlos a hacer flexiones de
19;EL_EXPERIMENTO;0:57;0:59;2;a encerrarlos desnudos en armarios oscuros
20;EL_EXPERIMENTO;0:59;1:02;3;Uno de los prisioneros sufrió una
21;EL_EXPERIMENTO;1:02;1:05;3;que tuvieron que sacarlo del experimento
22;EL_EXPERIMENTO;1:05;1:08;3;Zimbardo lo detuvo todo porque, según
23;EL_EXPERIMENTO;1:08;1:11;3;la situación se le había ido
24;FAMA_DEL_ESTUDIO;1:11;1:15;5;Esta historia se convirtió en uno
25;FAMA_DEL_ESTUDIO;1:15;1:18;3;Se enseña en universidades de todo
26;FAMA_DEL_ESTUDIO;1:18;1:21;3;se repite en documentales, se usa
27;FAMA_DEL_ESTUDIO;1:21;1:24;3;cualquier atrocidad cometida por gente que
28;FAMA_DEL_ESTUDIO;1:24;1:26;2;La conclusión que se sacó fue
29;FAMA_DEL_ESTUDIO;1:26;1:30;4;no hace falta ser un monstruo
30;FAMA_DEL_ESTUDIO;1:30;1:34;3;Basta con darte un uniforme y
31;FAMA_DEL_ESTUDIO;1:34;1:35;2;Cualquiera, en teoría, tú incluido
32;FAMA_DEL_ESTUDIO;1:35;1:39;4;se convertiría en el guardia cruel
33;LA_GRIETA;1:39;1:41;2;Pero hay un problema. Décadas después
34;LA_GRIETA;1:41;1:45;5;un investigador francés llamado Thibault Le
35;LA_GRIETA;1:45;1:48;3;guardadas en los archivos de la
36;LA_GRIETA;1:48;1:50;2;Y lo que hay en esas
37;LA_GRIETA;1:50;1:53;3;no es lo que se ha
38;LA_GRIETA;1:53;1:56;3;Se escucha al propio Zimbardo, antes
39;LA_GRIETA;1:56;2:00;4;dando instrucciones directas a los guardias
40;LA_GRIETA;2:00;2:05;5;Uno de los guardias más recordados
41;LA_GRIETA;2:05;2:08;3;reconoció años después en una entrevista
42;LA_GRIETA;2:08;2:12;4;imitando a un personaje de un
43;LA_GRIETA;2:12;2:15;4;Y el prisionero de la crisis
44;LA_GRIETA;2:15;2:19;4;también años más tarde, que la
45;LA_GRIETA;2:19;2:22;3;y volver a estudiar para un
46;EL_MECANISMO_REAL;2:22;2:25;3;O sea que el experimento más
47;EL_MECANISMO_REAL;2:25;2:29;4;sobre que cualquiera se vuelve un
48;EL_MECANISMO_REAL;2:29;2:32;3;Midió otra cosa, y es todavía
49;EL_MECANISMO_REAL;2:32;2:36;4;Zimbardo no demostró que el poder
50;EL_MECANISMO_REAL;2:36;2:40;3;Demostró que basta con que alguien
51;EL_MECANISMO_REAL;2:40;2:43;4;sin decírtelo con esas palabras, qué
52;EL_MECANISMO_REAL;2:43;2:47;4;para que tu cerebro lo haga
53;EL_MECANISMO_REAL;2:47;2:50;3;No hizo falta ninguna orden explícita
54;EL_MECANISMO_REAL;2:50;2:55;5;Bastó la ropa, el guion cultural
55;EL_MECANISMO_REAL;2:55;2:58;3;y una figura de autoridad observando
56;CEREBRO_TRAIDOR_SUTIL;2:58;3:03;5;Esto es tu cerebro traicionándote de
57;CEREBRO_TRAIDOR_SUTIL;3:03;3:05;2;No necesita convertirte en otra persona
58;CEREBRO_TRAIDOR_SUTIL;3:05;3:08;3;Solo necesita una situación con un
59;CEREBRO_TRAIDOR_SUTIL;3:08;3:09;1;una autoridad cerca
60;CEREBRO_TRAIDOR_SUTIL;3:09;3:13;4;y la sensación de que existe
61;CEREBRO_TRAIDOR_SUTIL;3:13;3:18;5;A partir de ahí, tu cerebro
62;CEREBRO_TRAIDOR_SUTIL;3:18;3:22;4;y empieza a preguntarse si lo
63;CEREBRO_TRAIDOR_SUTIL;3:22;3:26;4;Es la misma maquinaria que hace
64;CEREBRO_TRAIDOR_SUTIL;3:26;3:30;4;en una fiesta con gente que
65;CEREBRO_TRAIDOR_SUTIL;3:30;3:34;5;No te conviertes en otra persona
66;CEREBRO_TRAIDOR_SUTIL;3:34;3:38;4;según lo que cree que se
67;APLICACION_COTIDIANA;3:38;3:41;3;Y esto no se queda en
68;APLICACION_COTIDIANA;3:41;3:45;4;Pasa cada vez que te pones
69;APLICACION_COTIDIANA;3:45;3:50;5;y nadie te dice cómo comportarte
70;APLICACION_COTIDIANA;3:50;3:54;4;Tu cerebro rellena ese hueco solo
71;APLICACION_COTIDIANA;3:54;3:59;4;y lo hace tan rápido que
72;APLICACION_COTIDIANA;3:59;4:01;3;Lo vives como si siempre hubieras
73;APLICACION_COTIDIANA;4:01;4:05;4;Saber esto no te vuelve inmune
74;CIERRE_PREGUNTA;4:05;4:10;4;La próxima vez que te sorprendas
75;CIERRE_PREGUNTA;4:10;4:13;3;con un uniforme, un cargo o
76;CIERRE_PREGUNTA;4:13;4:16;3;no te preguntes solo si eres
77;CIERRE_PREGUNTA;4:16;4:19;3;Pregúntate qué guion estás siguiendo sin
78;CIERRE_PREGUNTA;4:19;4:22;3;y quién te lo puso delante
79;CIERRE_CTA;4:22;4:26;3;En el próximo video vas a
80;CIERRE_CTA;4:26;4:29;3;que aplicó descargas eléctricas que creía
81;CIERRE_CTA;4:29;4:34;4;solo porque otro hombre con bata
82;CIERRE_CTA;4:34;4:38;4;Suscríbete si quieres entender hasta dónde
83;CIERRE_CTA;4:38;4:40;2;Nos vemos en el siguiente
