Plano;Bloque;Entra;Sale;Duracion (s);Escena
1;SHORT;0:00;0:04;4.17;En 1971 encerraron a 24 estudiantes en una cárcel falsa.
2;SHORT;0:04;0:05;0.83;Unos, guardias.
3;SHORT;0:05;0:06;0.83;Otros, presos.
4;SHORT;0:06;0:09;3.34;En seis días todo se salió de control,
5;SHORT;0:09;0:13;4.17;y se volvió el experimento más citado de la psicología.
6;SHORT;0:13;0:16;2.63;Pero grabaciones ocultas por décadas muestran que
7;SHORT;0:16;0:19;2.55;Zimbardo le decía a los guardias cómo comportarse.
8;SHORT;0:19;0:21;2.87;Uno confesó después que solo actuaba, copiando una película.
9;SHORT;0:21;0:24;2.87;Y el preso de la crisis nerviosa más famosa
10;SHORT;0:24;0:26;1.91;admitió que la fingió para salir.
11;SHORT;0:26;0:29;3.19;No midieron que cualquiera se vuelve un monstruo con poder.
12;SHORT;0:29;0:32;2.95;Midieron algo peor: que tu cerebro sigue un guion social
13;SHORT;0:32;0:34;1.74;sin que nadie dé la orden.
14;SHORT;0:34;0:38;3.76;Y te pasa cada vez que cambias con un uniforme o un cargo,
15;SHORT;0:38;0:39;0.87;sin darte cuenta.
16;SHORT;0:39;0:40;1.74;La investigación completa, en el video.
