Plano;Bloque;Entra;Sale;Duracion (s);Escena
1;GANCHO;0:00;0:03;3;Windsor 1861
2;GANCHO;0:03;0:09;6;Veintiún años casada
3;GANCHO;0:09;0:13;4;Cuarenta años por delante
4;GANCHO;0:13;0:20;7;Vestir de negro para siempre
5;HECHO;0:20;0:26;6;Reina Victoria y Alberto
6;HECHO;0:26;0:33;7;La ropa preparada cada mañana
7;HECHO;0:33;0:39;6;El agua caliente para afeitarlo
8;HECHO;0:39;0:47;8;Una década sin aparecer
9;HECHO;0:47;0:51;4;Retraso en el Parlamento
10;HECHO;0:51;0:56;5;Papel de carta con borde negro
11;HECHO;0:56;1:01;5;Décadas después
12;HECHO;1:01;1:08;7;Treinta años más de negro
13;REENCUADRE;1:08;1:16;8;La versión de amor eterno
14;REENCUADRE;1:16;1:22;6;La versión incómoda
15;REVELACION;1:22;1:28;6;Tiene nombre clínico
16;REVELACION;1:28;1:32;4;Reconocido en 2022
17;REVELACION;1:32;1:37;5;El manual de diagnóstico
18;REVELACION;1:37;1:42;5;Antes se llamaba solo amor
19;REVELACION;1:42;1:47;5;Una condición con nombre propio
20;PUENTE;1:47;1:51;4;No exclusivo de una reina
21;PUENTE;1:51;1:56;5;Puede que también en ti
22;TITULO;1:56;2:03;7;7 señales de duelo no resuelto
23;SEÑALES;2:03;2:07;4;1. Una parte de ti murió
24;SEÑALES;2:07;2:14;7;1. Identidad perdida
25;SEÑALES;2:14;2:17;3;2. Te cuesta creerlo
26;SEÑALES;2:17;2:21;4;2. La ropa de Alberto
27;SEÑALES;2:21;2:27;6;2. Como si fuera a volver
28;SEÑALES;2:27;2:30;3;2. Negación pasajera
29;SEÑALES;2:30;2:34;4;3. Evitas los recordatorios
30;SEÑALES;2:34;2:40;6;3. Cambiar de acera
31;SEÑALES;2:40;2:45;5;4. Dolor intacto con los años
32;SEÑALES;2:45;2:50;5;4. Rabia y amargura
33;SEÑALES;2:50;2:53;3;5. No te reenganchas a la vida
34;SEÑALES;2:53;3:00;7;5. Traición a la memoria
35;SEÑALES;3:00;3:04;4;6. Detrás de un cristal
36;SEÑALES;3:04;3:08;4;6. Ni siquiera lo bueno
37;SEÑALES;3:08;3:14;6;7. La vida ya no tiene sentido
38;SEÑALES;3:14;3:19;5;7. El para qué se apagó
39;DATOS;3:19;3:23;4;La clave es el tiempo
40;DATOS;3:23;3:29;6;Cuánto tiempo sigue igual
41;DATOS;3:29;3:36;7;Doce meses después
42;DATOS;3:36;3:40;4;Antes de esa fecha es normal
43;DATOS;3:40;3:45;5;Existe tratamiento
44;LEGADO;3:45;3:49;4;A ella nadie la trató
45;LEGADO;3:49;3:54;5;Cuarenta años atrapada
46;LEGADO;3:54;3:59;5;La palabra exacta
47;LEGADO;3:59;4:05;6;Gente preparada para ayudarte
48;CTA;4:05;4:11;6;Próximo vídeo
49;CTA;4:11;4:16;5;Suscríbete
