plano;bloque;entra;sale;duración;escena
1;GANCHO;0:00.00;0:01.66;1.66;El paquete
2;GANCHO;0:01.66;0:03.42;1.76;La cabaña
3;GANCHO;0:03.42;0:05.02;1.60;Harvard al amanecer
4;GANCHO;0:05.02;0:06.62;1.60;Demasiado joven
5;GANCHO;0:06.62;0:08.22;1.60;El más joven de la clase
6;GANCHO;0:08.22;0:09.82;1.60;La matrícula
7;GANCHO;0:09.82;0:11.42;1.60;La invitación
8;GANCHO;0:11.42;0:13.02;1.60;El aula vacía
9;GANCHO;0:13.02;0:14.62;1.60;El papel en blanco
10;GANCHO;0:14.62;0:17.22;2.60;La habitación del colegio mayor
11;GANCHO;0:17.22;0:22.34;5.12;Escribir lo que crees
12;GANCHO;0:22.34;0:24.46;2.12;Páginas y páginas
13;GANCHO;0:24.46;0:26.90;2.44;La entrega
14;GANCHO;0:26.90;0:28.50;1.60;Lo entregó él mismo
15;GANCHO;0:28.50;0:30.10;1.60;El pasillo del sótano
16;GANCHO;0:30.10;0:31.70;1.60;La silla
17;GANCHO;0:31.70;0:33.30;1.60;El espejo
18;GANCHO;0:33.30;0:34.90;1.60;Los electrodos
19;GANCHO;0:34.90;0:37.33;2.43;La correa del brazo
20;GANCHO;0:37.33;0:42.83;5.50;El desconocido entra
21;GANCHO;0:42.83;0:48.33;5.50;El otro nombre
22;MURRAY;0:48.33;0:53.83;5.50;La pregunta
23;MURRAY;0:53.83;0:59.33;5.50;Murray, antes de Harvard
96;MURRAY;0:59.33;1:04.83;5.50;La insignia de la OSS
24;MURRAY;1:04.83;1:08.49;3.66;La OSS
97;MURRAY;1:08.49;1:10.09;1.60;El informe clasificado
98;MURRAY;1:10.09;1:13.60;3.51;El cronómetro
25;MURRAY;1:13.60;1:16.07;2.47;Medir al espía
99;MURRAY;1:16.07;1:19.00;2.93;La ventana del aula
26;MURRAY;1:19.00;1:21.00;2.00;Cambió de sujetos
100;MURRAY;1:21.00;1:23.14;2.14;La convocatoria
27;MURRAY;1:23.14;1:25.21;2.07;Veintidós
101;LA REDACCIÓN;1:25.21;1:27.58;2.37;La ficha completada
28;LA REDACCIÓN;1:27.58;1:29.18;1.60;Ninguno preguntó
102;LA REDACCIÓN;1:29.18;1:31.18;2.00;El formulario firmado
29;LA REDACCIÓN;1:31.18;1:32.78;1.60;Nadie supo para qué
30;LA REDACCIÓN;1:32.78;1:35.32;2.54;La redacción
31;LA REDACCIÓN;1:35.32;1:38.14;2.82;Lo más íntimo
103;LA REDACCIÓN;1:38.14;1:40.82;2.68;El reloj de pared
32;LA REDACCIÓN;1:40.82;1:43.84;3.02;Sinceridad enorme
104;LA REDACCIÓN;1:43.84;1:46.94;3.10;Las hojas acumuladas
33;LA REDACCIÓN;1:46.94;1:51.88;4.94;La munición
34;LA REDACCIÓN;1:51.88;1:53.48;1.60;La sala
35;LA REDACCIÓN;1:53.48;1:55.08;1.60;La antesala
36;LA REDACCIÓN;1:55.08;1:56.68;1.60;Los focos
37;LA REDACCIÓN;1:56.68;1:58.28;1.60;El pulso
38;LA REDACCIÓN;1:58.28;2:03.28;5.00;La respiración
39;LA REDACCIÓN;2:03.28;2:08.52;5.24;No era otro estudiante
40;LA REDACCIÓN;2:08.52;2:11.86;3.34;Entrenado de antemano
41;LA REDACCIÓN;2:11.86;2:14.44;2.58;El ataque
42;LA REDACCIÓN;2:14.44;2:16.36;1.92;El reloj de la sala
43;LA REDACCIÓN;2:16.36;2:21.86;5.50;Todo lo furioso posible
44;LAS GRABACIONES;2:21.86;2:27.36;5.50;De su puño
45;LAS GRABACIONES;2:27.36;2:31.22;3.86;Todo se grababa
46;LAS GRABACIONES;2:31.22;2:33.28;2.05;Los que miraban
47;LAS GRABACIONES;2:33.28;2:35.36;2.09;Su cara
48;LAS GRABACIONES;2:35.36;2:37.32;1.96;El momento exacto
49;LAS GRABACIONES;2:37.32;2:42.46;5.14;Obligados a verse
50;LAS GRABACIONES;2:42.46;2:45.58;3.12;Más de una vez
51;LAS GRABACIONES;2:45.58;2:48.04;2.46;Mirarte siendo humillado
52;LAS GRABACIONES;2:48.04;2:49.64;1.60;Otra vez desde el principio
53;LAS GRABACIONES;2:49.64;2:54.42;4.78;Tres años
54;LAS GRABACIONES;2:54.42;2:56.02;1.60;Entró con dieciséis
55;LAS GRABACIONES;2:56.02;3:01.52;5.50;Salió con diecinueve
56;LAS GRABACIONES;3:01.52;3:03.76;2.24;Lawful
57;LAS GRABACIONES;3:03.76;3:05.76;2.00;Respetuoso de la ley
58;LAS GRABACIONES;3:05.76;3:09.64;3.88;El expediente
59;LAS GRABACIONES;3:09.64;3:12.86;3.22;Diecisiete años después
60;DESPUÉS;3:12.86;3:15.52;2.66;El correo
61;DESPUÉS;3:15.52;3:18.60;3.08;La saca
62;DESPUÉS;3:18.60;3:20.22;1.62;Tres personas
63;DESPUÉS;3:20.22;3:21.82;1.60;Una tienda de informática
64;DESPUÉS;3:21.82;3:23.42;1.60;La cabaña por dentro
