plano,archivo,in,out,dur,anclado,titulo,narracion
1,001.png,0:00.00,0:02.46,2.46,,El paquete,"Antes de ser el Unabomber, Theodore Kaczynski fue esto: un chico de dieciséis años, el más joven de su clase, recién entrado a Harvard."
2,002.png,0:02.46,0:04.77,2.31,,La cabaña,"Antes de ser el Unabomber, Theodore Kaczynski fue esto: un chico de dieciséis años, el más joven de su clase, recién entrado a Harvard."
3,003.png,0:04.77,0:06.93,2.16,,Harvard al amanecer,"Antes de ser el Unabomber, Theodore Kaczynski fue esto: un chico de dieciséis años, el más joven de su clase, recién entrado a Harvard."
4,004.png,0:06.93,0:08.95,2.02,,Demasiado joven,Ponte en su lugar.
5,005.png,0:08.95,0:11.26,2.31,,El más joven de la clase,"Tienes dieciséis años y acabas de entrar en Harvard, eres el más joven de tu clase."
6,006.png,0:11.26,0:13.26,2.00,,La matrícula,"Tienes dieciséis años y acabas de entrar en Harvard, eres el más joven de tu clase."
7,007.png,0:13.26,0:15.42,2.16,,La invitación,Un profesor te invita a un estudio sobre la personalidad y aceptas.
8,008.png,0:15.42,0:17.42,2.00,,El aula vacía,Un profesor te invita a un estudio sobre la personalidad y aceptas.
9,009.png,0:17.42,0:19.73,2.31,,El papel en blanco,"Te piden que escribas en qué crees, tus principios, tu filosofía, lo que de verdad te importa, con todo el detalle que puedas."
10,010.png,0:19.73,0:22.04,2.31,,La habitación del colegio mayor,"Te piden que escribas en qué crees, tus principios, tu filosofía, lo que de verdad te importa, con todo el detalle que puedas."
11,011.png,0:22.04,0:24.50,2.46,,Escribir lo que crees,"Te piden que escribas en qué crees, tus principios, tu filosofía, lo que de verdad te importa, con todo el detalle que puedas."
12,012.png,0:24.50,0:25.69,1.19,sí,Páginas y páginas,"Escribes páginas enteras, las entregas."
13,013.png,0:25.69,0:26.96,1.27,,La entrega,"Escribes páginas enteras, las entregas."
14,014.png,0:26.96,0:28.31,1.36,,Lo entregó él mismo,"Semanas después te sientan en una silla frente a un espejo que solo se ve por un lado, te apuntan a la cara con focos, te conectan electrodos al pecho."
